,Date,Ticker,Open,High,Low,Close,Adj Close,Volume,CDLMARUBOZU,CDL3STARSINSOUTH,CDL3OUTSIDE,CDL3WHITESOLDIERS,CDLBREAKAWAY,CDLEVENINGSTAR,CDLHAMMER,CDLHARAMICROSS,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLMORNINGDOJISTAR,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSTICKSANDWICH,CDLUNIQUE3RIVER,CDLTHRUSTING,CDLXSIDEGAP3METHODS
121,2023-06-28,MMM,98.26000213623048,99.2699966430664,97.7699966430664,98.56999969482422,95.61298370361328,3795600.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2023-06-29,MMM,98.0999984741211,99.45999908447266,97.91999816894533,99.23999786376952,96.26288604736328,3496900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2023-06-30,MMM,100.01000213623048,100.4000015258789,99.1999969482422,100.08999633789062,97.08738708496094,5085200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2023-07-03,MMM,100.1999969482422,101.44000244140624,99.91999816894533,101.13999938964844,98.10588073730467,1599500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2023-07-05,MMM,100.79000091552734,101.37000274658205,98.56999969482422,98.62999725341795,95.67118072509766,3943400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2023-07-06,MMM,98.0,98.08000183105467,95.56999969482422,96.30999755859376,93.42078399658205,5131300.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2023-07-07,MMM,96.19000244140624,98.98999786376952,96.16999816894533,97.29000091552734,94.3713836669922,3987400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2023-07-10,MMM,97.12000274658205,98.51000213623048,96.87999725341795,97.19000244140624,94.2743911743164,3767900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,2023-07-11,MMM,98.73999786376952,102.02999877929688,98.37999725341795,101.91999816894533,98.86248779296876,6253500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2023-07-12,MMM,103.4800033569336,104.2699966430664,101.5199966430664,101.56999969482422,98.52298736572266,3633200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2023-07-13,MMM,101.6999969482422,102.91999816894533,101.5,102.86000061035156,99.7742919921875,2492100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,2023-07-14,MMM,102.75,102.8499984741211,101.5500030517578,102.3000030517578,99.23109436035156,2214800.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2023-07-17,MMM,101.9000015258789,102.12000274658205,100.8000030517578,101.6999969482422,98.64908599853516,2302100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2023-07-18,MMM,101.62000274658205,103.54000091552734,101.3499984741211,103.01000213623048,99.91979217529295,2490700.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,2023-07-19,MMM,102.8499984741211,103.76000213623048,102.5999984741211,103.4800033569336,100.37569427490234,2088900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,2023-07-20,MMM,103.16999816894533,104.7300033569336,102.51000213623048,104.29000091552734,101.16139221191406,2866300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2023-07-21,MMM,104.16999816894533,104.54000091552734,103.22000122070312,104.33000183105467,101.2001953125,2498700.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
138,2023-07-24,MMM,104.52999877929688,105.5999984741211,103.9800033569336,104.2699966430664,101.14198303222656,3333400.0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
139,2023-07-25,MMM,107.5500030517578,110.8499984741211,107.01000213623048,109.83000183105467,106.53519439697266,8778900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,2023-07-26,MMM,109.83999633789062,113.06999969482422,109.83999633789062,112.63999938964844,109.26089477539062,5595000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2023-07-27,MMM,110.4499969482422,113.13999938964844,110.4499969482422,111.19000244140624,107.8543930053711,5613500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,2023-07-28,MMM,111.87000274658205,112.41000366210938,111.0500030517578,111.87999725341795,108.52368927001952,2909500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,2023-07-31,MMM,111.87999725341795,112.2699966430664,110.86000061035156,111.5,108.15509796142578,7241900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2023-08-01,MMM,111.5,111.91999816894533,110.33000183105467,110.55999755859376,107.24329376220705,2855200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2023-08-02,MMM,109.5,109.9000015258789,108.16000366210938,108.91000366210938,105.64279174804688,3186400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,2023-08-03,MMM,108.5,108.83999633789062,106.93000030517578,107.19000244140624,103.97439575195312,2821500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,2023-08-04,MMM,107.55999755859376,107.9800033569336,105.06999969482422,105.51000213623048,102.34478759765624,2914400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2023-08-07,MMM,106.0,106.5500030517578,104.88999938964844,105.2300033569336,102.0731964111328,2509400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2023-08-08,MMM,104.30999755859376,104.4000015258789,102.5500030517578,104.12000274658205,100.99649047851562,2912500.0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
