No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
256,MD,Pediatrix Medical Group Inc,Healthcare,Medical Care Facilities,USA,1199.81,,14.07,-0.71%,323416
257,MDXG,Mimedx Group Inc,Healthcare,Biotechnology,USA,1306.11,15.65,9.16,-2.97%,504740
258,MELI,MercadoLibre Inc,Consumer Cyclical,Internet Retail,USA,90146.34,64.35,1823.86,-2.51%,411336
259,MFA,MFA Financial Inc,Real Estate,REIT - Mortgage,USA,1106.58,6.78,10.82,0.19%,795666
260,MFIC,MidCap Financial Investment Corporation,Financial,Asset Management,USA,1285.73,8.9,13.71,0.29%,412888
261,MGA,Magna International Inc,Consumer Cyclical,Auto Parts,Canada,12729.16,11.81,44.3,-1.34%,1076711
262,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,10631.78,12.96,36.25,-1.49%,2843383
263,MGNI,Magnite Inc,Communication Services,Advertising Agencies,USA,2321.4,143.34,16.47,0.18%,1523619
264,MGY,Magnolia Oil & Gas Corp,Energy,Oil & Gas E&P,USA,4909.14,12.53,25.34,-1.44%,4122087
265,MHO,MI Homes Inc,Consumer Cyclical,Residential Construction,USA,4033.37,8.14,151.87,-2.38%,291998
266,MIDD,Middleby Corp,Industrials,Specialty Industrial Machinery,USA,7340.53,19.12,138.75,-1.65%,462111
267,MKSI,"MKS Instruments, Inc",Technology,Scientific & Technical Instruments,USA,7551.02,242.56,112.55,-0.31%,578315
268,MOD,Modine Manufacturing Co,Consumer Cyclical,Auto Parts,USA,7142.29,43.34,132.07,3.00%,699403
269,MODG,Topgolf Callaway Brands Corp,Consumer Cyclical,Leisure,USA,1439.53,,7.92,-1.12%,2003051
270,MP,MP Materials Corporation,Basic Materials,Other Industrial Metals & Mining,USA,3124.22,,19.37,-1.17%,2252623
271,MQ,Marqeta Inc,Technology,Software - Infrastructure,USA,2014.62,169.62,4.02,-0.25%,4011364
272,MRC,MRC Global Inc,Energy,Oil & Gas Equipment & Services,USA,1110.94,15.19,13.22,-1.42%,365019
273,MRNA,Moderna Inc,Healthcare,Biotechnology,USA,15724.77,,41.83,-2.31%,4862132
274,MSTR,Microstrategy Inc,Technology,Software - Application,USA,95676.17,,408.67,4.20%,21536882
275,MTDR,Matador Resources Co,Energy,Oil & Gas E&P,USA,7039.84,7.51,56.69,-0.47%,930951
