,Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,be_signal,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,bu_signal,Combined_Signals_65
7170,2024-12-05 15:00:00-05:00,30m,GME,30.3700008392334,30.790000915527344,28.799999237060547,28.83309936523437,4821442,3387252.0,59.13590015735529,0.9041675096588676,1.4234081196202704,27.385460090637206,27.467505989074706,28.136705074310303,28.115944583599383,30,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7171,2024-12-05 15:30:00-05:00,30m,GME,28.850000381469727,29.09000015258789,28.309999465942383,28.604999542236328,3635443,3666690.3,57.13740158396421,0.895298450872199,0.99147806401866,27.443420028686525,27.45640598297119,28.143730068206786,28.07762148930476,29,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7172,2024-12-06 09:30:00-05:00,30m,GME,29.1200008392334,29.299999237060547,28.170000076293945,28.479999542236328,3897635,3968183.2,56.020110482908926,0.9120627872932277,0.982221536545994,27.491320037841795,27.45420398712158,28.150780067443847,28.04008301955003,28,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7173,2024-12-06 10:00:00-05:00,30m,GME,28.46999931335449,28.530000686645508,28.11000061035156,28.34910011291504,1370669,4062939.5,54.81138125571008,0.8769154507932788,0.3373589491056906,27.552845001220703,27.45918800354004,28.15372556686401,28.00037686274602,27,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7174,2024-12-06 10:30:00-05:00,30m,GME,28.350000381469727,28.920000076293945,28.203399658203125,28.84499931335449,1118543,4138814.4,58.46744724758703,0.8654643770288175,0.2702568638980284,27.63609495162964,27.475851974487306,28.163013067245483,27.9639153113732,26,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7175,2024-12-06 11:00:00-05:00,30m,GME,28.858400344848636,28.8799991607666,28.34499931335449,28.600000381469727,741723,4180482.2,56.05448358598953,0.8418597677704812,0.1774252262095506,27.70859498977661,27.50257999420166,28.17016306877136,27.92040763268104,25,75.49589826202325,30.8700008392334,31.95852407781871,26.15010070800781,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
7277,2024-12-04 15:00:00-05:00,30m,ZM,83.61000061035156,83.63999938964844,83.31999969482422,83.36000061035156,189785,157990.5,50.65770564980085,0.4768621275590825,1.2012431127188028,83.14731979370117,83.40936614990234,83.00270835876465,83.51658923809345,43,61.07075443634967,83.95999908447266,50.65770564980085,83.31999969482422,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
7360,2024-12-02 09:30:00-05:00,30m,SBUX,102.0,102.1999969482422,100.73999786376952,100.83999633789062,559224,375735.1,41.222356612013726,0.4593327389330728,1.4883464440772236,101.60851974487304,101.64187774658204,,101.4921643770658,80,66.65659835650962,102.5,51.63902295988781,101.2699966430664,1,0,0,2,1,Sell,0,1,0,0,0,0,Sell
7361,2024-12-02 10:00:00-05:00,30m,SBUX,100.9000015258789,100.90499877929688,99.87000274658205,100.0,571804,412183.7,33.98184948813642,0.5004515456317707,1.387255245658671,101.51651992797852,101.60317779541016,,101.4937028151292,79,66.65659835650962,102.5,33.98184948813642,99.87000274658205,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
7362,2024-12-02 10:30:00-05:00,30m,SBUX,100.00499725341795,100.60990142822266,99.9800033569336,100.44000244140624,540543,394938.3,39.93341835476379,0.5096977260358629,1.3686770819644487,101.45601997375488,101.5723777770996,,101.49985668475811,78,66.65659835650962,102.5,33.98184948813642,99.87000274658205,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
