Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
CL,Colgate-Palmol,95.54,-1.50,-1.55%,5241,92144,64.81%,+44.42%,2941,2300,0.7820
NU,NuHoldingsLt,12.36,-0.53,-4.11%,56050,1049739,24.22%,+43.12%,40205,15845,0.3941
A,AgilentTechno,127.4,-2.23,-1.72%,2869,26922,26.30%,+42.10%,1319,1550,1.1751
BKNG,BookingHoldin,3884.88,-76.62,-1.93%,5584,36792,29.32%,+42.05%,3273,2311,0.7061
ASTS,AstSpacemobil,10.84,-0.77,-6.63%,54125,318372,19.25%,+39.86%,42613,11512,0.2702
BKR,BakerHughesC,34.94,-0.23,-0.65%,2978,83614,20.30%,+39.42%,611,2367,3.8740
CELH,CelsiusHoldin,57.84,+0.75,1.31%,76344,339047,49.30%,+39.42%,66100,10244,0.1550
DIS,WaltDisneyCo,98.04,-1.25,-1.26%,130189,1056193,23.45%,+38.79%,101025,29164,0.2887
LI,LiAutoIncAD,19.08,+1.20,6.71%,32771,379717,40.75%,+38.77%,25854,6917,0.2675
MCD,McDonalCor,249.99,-4.85,-1.90%,43067,216905,72.71%,+38.68%,24215,18852,0.7785
CMCSA,ComcastCorpA,38.17,-0.99,-2.53%,33644,502513,59.87%,+38.54%,26002,7642,0.2939
BA,BoeingCompany,186.7,+4.69,2.58%,128626,826749,77.69%,+38.40%,75840,52786,0.6960
CAVA,CavaGroupInc,95.27,+2.52,2.72%,32753,151256,13.80%,+37.38%,27455,5298,0.1930
MRNA,ModernaInc,115.95,-2.80,-2.36%,52531,349411,39.63%,+37.05%,27516,25015,0.9091
SE,SeaLtdADR,69.39,-2.03,-2.84%,17813,406981,1.95%,+36.88%,10713,7100,0.6627
D,DominionEnerg,48.01,-0.99,-2.02%,2744,99472,11.39%,+36.86%,2154,590,0.2739
ELF,E.L.F.Beauty,204.16,-6.56,-3.11%,11819,69643,28.68%,+36.60%,8695,3124,0.3593
LOW,LowCompani,213.56,-6.90,-3.13%,10978,110051,27.39%,+36.53%,4852,6126,1.2626
V,VisaInc,263.24,+0.77,0.29%,37089,294221,63.03%,+35.41%,20761,16328,0.7865
ARDX,ArdelyxInc,7.57,+0.16,2.16%,4123,121203,20.51%,+32.74%,3286,837,0.2547
WFC,WellsFargo&,60.59,+1.20,2.02%,68179,1203387,41.71%,+32.31%,43128,25051,0.5809
